lang_0000000000AC798YZWAKQ8GAB6,Indonesian,id,ind,Bahasa indonesia,f,2023-03-21 16:55:17.315,2023-03-21 16:55:17.315,,
lang_00000000004KWPNCJWTV4A0SCB,Interlingue,ie,ile,Interlingue,f,2023-03-21 16:55:17.315,2023-03-21 16:55:17.315,,
lang_00000000002MKKQ0D0RMQ1DPKH,Igbo,ig,ibo,Asụsụ igbo,f,2023-03-21 16:55:17.315,2023-03-21 16:55:17.315,,
lang_0000000000XFN57V5JE5AFXZNJ,Nuosu,ii,iii,ꆈꌠ꒿ nuosuhxop,f,2023-03-21 16:55:17.315,2023-03-21 16:55:17.315,,
lang_00000000002HXZMH7XZ5JCFCHW,Inupiaq,ik,ipk,Iñupiaq,f,2023-03-21 16:55:17.315,2023-03-21 16:55:17.315,,
lang_0000000000SSHW3828JCK0NCH1,Ido,io,ido,Ido,f,2023-03-21 16:55:17.315,2023-03-21 16:55:17.315,,
lang_00000000008N10DQXKP2NB3B3W,Icelandic,is,isl,Íslenska,f,2023-03-21 16:55:17.315,2023-03-21 16:55:17.315,,
lang_0000000000Q3RFX6BFCQ2JMD2K,Italian,it,ita,Italiano,f,2023-03-21 16:55:17.315,2023-03-21 16:55:17.315,,
lang_0000000000J1Z2YV21KTJJ6AC8,Inuktitut,iu,iku,ᐃᓄᒃᑎᑐᑦ,f,2023-03-21 16:55:17.315,2023-03-21 16:55:17.315,,
lang_0000000000EHJYCGJ7H2SK5JD4,Javanese,jv,jav,Basa jawa,f,2023-03-21 16:55:17.315,2023-03-21 16:55:17.315,,
lang_0000000000Y2A552CA0911PQPT,Georgian,ka,kat,Ქართული,f,2023-03-21 16:55:17.315,2023-03-21 16:55:17.315,,
lang_0000000000DC8GC7KZF542NT2M,Kongo,kg,kon,Kikongo,f,2023-03-21 16:55:17.315,2023-03-21 16:55:17.315,,
lang_000000000081P5973N08ZJ4Y0B,Kikuyu,ki,kik,Gĩkũyũ,f,2023-03-21 16:55:17.315,2023-03-21 16:55:17.315,,
lang_000000000000BDRQ0SQPYD7T5F,Kwanyama,kj,kua,Kuanyama,f,2023-03-21 16:55:17.315,2023-03-21 16:55:17.315,,
lang_0000000000Q5A1C6WP3VXJC7SN,Kazakh,kk,kaz,Қазақ тілі,f,2023-03-21 16:55:17.315,2023-03-21 16:55:17.315,,
lang_000000000054SVNJR7Q564P4S7,Kalaallisut,kl,kal,Kalaallisut,f,2023-03-21 16:55:17.315,2023-03-21 16:55:17.315,,
lang_0000000000X19SM6SMH5Q4DG1J,Khmer,km,khm,ខេមរភាសា,f,2023-03-21 16:55:17.315,2023-03-21 16:55:17.315,,
lang_0000000000MFEYSY8MZ8G6JVVR,Kannada,kn,kan,ಕನ್ನಡ,f,2023-03-21 16:55:17.315,2023-03-21 16:55:17.315,,
lang_0000000000RGR9FBFD6NBBW8NZ,Kanuri,kr,kau,Kanuri,f,2023-03-21 16:55:17.315,2023-03-21 16:55:17.315,,
lang_00000000001WEW113WPRBE44DT,Kashmiri,ks,kas,कश्मीरी,f,2023-03-21 16:55:17.315,2023-03-21 16:55:17.315,,
lang_0000000000WSWHTYZR8E16D81A,Kurdish,ku,kur,Kurdî,f,2023-03-21 16:55:17.315,2023-03-21 16:55:17.315,,
